Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBag.retainAll",,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,14,3,9,1,8,4,1,6,10,3,7,4,4,4,1,1,,,,,0,,3,0,,0.07,4,4,4,1
Private Method,"org.apache.commons.collections4.bag.CollectionSortedBag.writeObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.50,1,1,1,1
Public Generic Class,"org.apache.commons.collections4.bag.CollectionSortedBagTest",1,1,1,1,8,0,5,3,1,14,0,,0,0,,,,10,0,10,100,0,0,0,10,,130,16,61,27,26,53,,,,26,41,20,21,,,,,,2,2,4,1,,5,1,,0,0.87,14,14,18,10
Public Constructor,"org.apache.commons.collections4.bag.CollectionSortedBagTest.CollectionSortedBagTest",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
TypeVariable,"org.apache.commons.collections4.bag.CollectionSortedBagTest.T",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.getCompatibilityVersion",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.getFullNonNullElements",,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,7,2,4,3,2,2,0,5,7,3,4,2,2,2,1,0,,,,,0,,1,0,,0.43,2,2,2,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.getOtherNonNullElements",,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,7,2,4,3,2,2,0,5,7,3,4,2,2,2,1,0,,,,,0,,1,0,,0.43,2,2,2,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.isNullSupported",,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.33,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.makeConfirmedCollection",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.makeConfirmedFullCollection",,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,5,2,3,5,5,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,1.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.makeObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.testEmptyBagCompatibility",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,8,3,5,5,8,2,0,4,6,3,3,2,2,4,1,0,,,,,0,,1,0,,0.63,2,2,4,1
Public Method,"org.apache.commons.collections4.bag.CollectionSortedBagTest.testFullBagCompatibility",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,8,3,5,5,7,2,0,4,6,3,3,2,2,4,1,0,,,,,0,,1,0,,0.63,2,2,4,1
Public Generic Class,"org.apache.commons.collections4.bag.HashBag",1,1,1,1,9,0,3,5,2,6,0,,0,1,,,,4,0,4,43,0,2,0,2,,60,6,18,6,8,36,,,,8,13,6,7,,,,,,1,1,1,1,,2,0,,100,2.00,4,4,4,4
TypeVariable,"org.apache.commons.collections4.bag.HashBag.E",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Constructor,"org.apache.commons.collections4.bag.HashBag.HashBag",,,,,,,,,,,,,,,,,,,,,,,,,,27,6,0,3,1,1,3,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.00,1,1,1,1
Public Constructor,"org.apache.commons.collections4.bag.HashBag.HashBag",,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,4,1,2,5,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.25,1,1,1,1
Private Method,"org.apache.commons.collections4.bag.HashBag.readObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,4,1,2,7,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.75,1,1,1,1
Private Method,"org.apache.commons.collections4.bag.HashBag.writeObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.50,1,1,1,1
Public Generic Class,"org.apache.commons.collections4.bag.HashBagTest",1,1,1,1,3,0,3,0,1,5,0,,1,0,,,,3,0,4,123,0,0,0,4,,34,6,16,7,4,12,,,,4,9,5,4,,,,,,1,1,1,1,,6,0,,0,0.75,4,4,4,4
Public Constructor,"org.apache.commons.collections4.bag.HashBagTest.HashBagTest",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
TypeVariable,"org.apache.commons.collections4.bag.HashBagTest.T",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
