Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Antlib.java",2,2,2,1,19,0,14,5,,,,1,1,1,6,,6,5,3,6,,0,1,2,3,,185,14,107,44,60,64,,,,58,76,38,38,,,,,,6,6,6,3,,,3,,,0.60,15,15,15,8
File,"AntlibDefinition.java",1,1,1,1,10,0,4,6,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,81,8,26,11,9,47,,,,12,19,11,8,,,,,,3,3,3,1,,,1,,,1.81,6,6,6,4
File,"AntlibTest.java",1,1,1,1,4,0,3,0,,,,3,0,0,10,,10,10,1,10,,0,1,0,9,,107,16,63,33,19,28,,,,29,42,25,17,,,,,,1,1,2,1,,,0,,,0.44,10,10,11,10
File,"ApacheCatalog.java",2,2,2,1,24,3,10,10,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,123,18,40,17,23,65,,,,19,27,15,12,,,,,,5,5,5,1,,,2,,,1.63,7,7,7,3
File,"ApacheCatalogResolver.java",1,1,1,1,19,1,8,9,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,171,23,52,24,25,96,,,,30,37,19,18,,,,,,3,3,3,1,,,1,,,1.85,6,6,6,4
File,"Appendable.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,35,3,6,5,0,26,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,4.33,0,0,0,0
File,"Arc.java",2,2,2,1,12,0,8,3,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,121,13,64,26,38,44,,,,32,48,24,24,,,,,,6,6,6,1,,,2,,,0.69,14,14,14,6
File,"Arc.java",1,1,1,1,9,0,5,3,,,,2,1,1,8,,8,7,3,8,,0,0,0,8,,136,18,70,30,34,48,,,,34,50,27,23,,,,,,6,6,6,1,,,2,,,0.69,13,13,13,8
File,"ArchiveFileSet.java",1,1,2,1,12,0,6,5,,,,1,0,5,38,,39,39,10,39,,0,1,6,32,,599,51,297,82,163,251,,,,137,206,67,139,,,,,,5,5,6,3,,,2,,,0.85,70,70,76,46
File,"ArchiveResource.java",2,2,2,1,10,0,6,4,,,,1,0,1,21,,22,22,4,22,,0,0,8,14,,307,26,169,51,84,112,,,,69,110,39,71,,,,,,6,6,6,4,,,2,,,0.66,44,44,47,24
File,"ArchiveScanner.java",2,2,2,1,14,0,7,6,,,,1,1,0,16,,17,16,9,17,,2,1,2,12,,364,36,154,47,81,176,,,,71,106,40,66,,,,,,5,5,6,5,,,2,,,1.14,35,35,41,22
File,"Archives.java",1,1,2,1,12,0,7,4,,,,1,0,0,12,,12,12,2,12,,0,2,3,7,,214,17,111,39,52,86,,,,53,79,34,45,,,,,,3,3,3,1,,,1,,,0.77,23,23,24,12
File,"ArgumentProcessor.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,88,8,10,9,0,70,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,7.00,0,0,0,0
File,"ArgumentProcessorRegistry.java",2,2,2,1,8,0,8,0,,,,1,1,4,10,,10,9,1,10,,0,5,0,5,,157,20,105,42,53,34,,,,45,68,37,31,,,,,,6,6,6,1,,,3,,,0.32,20,20,21,10
File,"AsiExtraField.java",1,1,1,1,11,0,5,5,,,,1,0,2,20,,20,20,6,20,,0,0,1,19,,352,34,132,45,81,194,,,,66,92,43,49,,,,,,3,3,3,1,,,1,,,1.47,25,25,26,20
